t,type,op,device
8,time,post,mqtt
333,time,post,mqtt
5,time,post,mqtt
386,time,post,mqtt
6,time,post,mqtt
620,time,post,mqtt
664,time,post,mqtt
1588,time,post,mqtt
50,time,post,mqtt
929,time,post,mqtt
27,time,post,mqtt
1246,time,post,mqtt
3,time,post,mqtt
754,time,post,mqtt
3,time,post,mqtt
434,time,post,mqtt
3,time,post,mqtt
581,time,post,mqtt
12,time,post,mqtt
933,time,post,mqtt
2,time,post,mqtt
1026,time,post,mqtt
2,time,post,mqtt
396,time,post,mqtt
20,time,post,mqtt
456,time,post,mqtt
53,time,post,mqtt
496,time,post,mqtt
31,time,post,mqtt
431,time,post,mqtt
27,time,post,mqtt
389,time,post,mqtt
2061,time,post,mqtt
845,time,post,mqtt
333,time,post,mqtt
454,time,post,mqtt
2624,time,post,mqtt
367,time,post,mqtt
11,time,post,mqtt
2206,time,post,mqtt
3,time,post,mqtt
1036,time,post,mqtt
16,time,post,mqtt
408,time,post,mqtt
8,time,post,mqtt
345,time,post,mqtt
3,time,post,mqtt
3817,time,post,mqtt
338,time,post,mqtt
343,time,post,mqtt
38,time,post,mqtt
1197,time,post,mqtt
3,time,post,mqtt
1517,time,post,mqtt
4,time,post,mqtt
993,time,post,mqtt
5,time,post,mqtt
344,time,post,mqtt
14,time,post,mqtt
339,time,post,mqtt
15,time,post,mqtt
334,time,post,mqtt
4,time,post,mqtt
600,time,post,mqtt
449,time,post,mqtt
332,time,post,mqtt
3,time,post,mqtt
574,time,post,mqtt
3,time,post,mqtt
343,time,post,mqtt
31,time,post,mqtt
622,time,post,mqtt
2,time,post,mqtt
356,time,post,mqtt
9,time,post,mqtt
4186,time,post,mqtt
7,time,post,mqtt
346,time,post,mqtt
2,time,post,mqtt
2316,time,post,mqtt
398,time,post,mqtt
344,time,post,mqtt
5,time,post,mqtt
399,time,post,mqtt
1549,time,post,mqtt
337,time,post,mqtt
3,time,post,mqtt
337,time,post,mqtt
7,time,post,mqtt
344,time,post,mqtt
14,time,post,mqtt
336,time,post,mqtt
9,time,post,mqtt
358,time,post,mqtt
13,time,post,mqtt
345,time,post,mqtt
336,time,post,mqtt
334,time,post,mqtt
4,time,post,mqtt
391,time,post,mqtt
11,time,post,mqtt
353,time,post,mqtt
363,time,post,mqtt
345,time,post,mqtt
635,time,post,mqtt
337,time,post,mqtt
335,time,post,mqtt
